"","Adjusted","Implementation_year","Reserve_size","C_change","B_change","PV_change","C_per","B_per","PV_per","X","Transition_period","Payoff_period","B_per_50","Loss"
"79","IUU_20",2030,0.45,49224.5493434285,1264336.55727388,9489295.1932274,11.3609278611425,122.319738355085,12.3051314017019,79,6,33,208.255123251208,14185.7037155758
"80","IUU_20",2030,0.5,22131.1089489348,1527329.75389639,6231449.35316515,5.10781582786597,147.76332678489,8.08055830832138,80,8,50,263.078449111677,19587.5487980813
"81","IUU_20_legal",2015,0.05,8778.49943448894,153523.691494569,29879324.9482417,2.51178663463286,17.7364627096986,38.6597863643726,81,7,24,14.2673052684602,5870.70193399681
"82","IUU_20_legal",2015,0.1,17104.8071912897,230860.56859821,32799345.1334693,4.89418794313048,26.6711269525903,42.4378957003801,82,8,25,25.3195228918947,7946.441091842
"83","IUU_20_legal",2015,0.15,24156.0573350139,308301.928732886,35187021.5543651,6.91175780237952,35.6178620320135,45.5272245422793,83,8,27,36.1813244793337,10538.1735159812
"84","IUU_20_legal",2015,0.2,31836.669704765,463134.86258878,37535765.7514376,9.10940668760267,53.5055804084663,48.5661803768128,84,10,31,60.2681022989234,15486.3140224391
"85","IUU_20_legal",2015,0.25,33104.5136303141,623398.213568668,37624647.560587,9.47217408888348,72.0206702992449,48.6811813602468,85,11,39,87.5256641700296,21621.8780188405
"86","IUU_20_legal",2015,0.3,33487.0519445498,564171.948698644,37852263.9590265,9.58162954104849,65.1783098265679,48.9756860504279,86,10,35,77.1485967152542,19512.0966728645
"87","IUU_20_legal",2015,0.35,19656.7650865159,935298.042289748,31431902.1896749,5.62437808339425,108.054194685079,40.6686103445651,87,13,NA,146.804647118895,35819.2309891384
"88","IUU_20_legal",2015,0.4,499.577805649256,1157960.80479215,23182232.6044235,0.142943889733481,133.778236007405,29.9946588983746,88,15,NA,193.204115452521,48071.6405560522
"89","IUU_20_legal",2015,0.45,-2900.32318679913,1195872.51316019,21476081.9547465,-0.829867686508765,138.158143728387,27.7871317960654,89,16,NA,201.345553445064,50176.9211538046
"90","IUU_20_legal",2015,0.5,-81788.1198436673,1704105.9202184,-8126688.24669708,-23.401984340053,196.87392097655,-10.5148303052829,90,28,NA,317.454124994145,96252.0077140963
"91","IUU_20_legal",2020,0.05,9882.09509279515,154679.002951092,29503350.9577972,2.61486222609524,16.7742143346649,38.2192290150849,91,2,15,13.7183482512939,4692.66301594953
"92","IUU_20_legal",2020,0.1,19814.1317192247,231133.39453917,31551899.8016769,5.24293928452995,25.0653354749423,40.8729600277018,92,3,16,24.1954659270377,5982.7148516426
"93","IUU_20_legal",2020,0.15,28257.323104487,309487.58204896,33072090.9123364,7.47705887290668,33.562480596335,42.842245899266,93,4,17,35.2928786945566,7439.67138183136
"94","IUU_20_legal",2020,0.2,34667.791597601,394762.933428152,33966018.2700439,9.17330767003054,42.8101935645309,44.0002572199442,94,5,19,48.0314791804616,9171.85406215143
"95","IUU_20_legal",2020,0.25,44369.1997433647,629818.068825864,34035556.6722384,11.7403590353615,68.3008234910219,44.0903386524777,95,6,24,85.6006286938423,15150.6567543581
"96","IUU_20_legal",2020,0.3,42810.380535512,651299.861353654,33491035.200383,11.3278860298247,70.6304234061952,43.3849546821537,96,6,26,89.7958158562183,15775.888967006
"97","IUU_20_legal",2020,0.35,39559.6700695629,883227.260156376,29900929.7031031,10.4677283481222,95.7818649294398,38.7342604479588,97,8,38,131.308095584298,22577.6368411314
"98","IUU_20_legal",2020,0.4,25090.2825253864,1191452.39855192,21242027.3074289,6.63904075012634,129.20743941684,27.5173456590955,98,10,NA,192.587890956505,34358.2975161957
"99","IUU_20_legal",2020,0.45,19967.8606637919,1272685.70276767,18538099.5305106,5.28361689453385,138.016811277473,24.0146237108628,99,12,NA,209.294277670896,37678.5505919634
"100","IUU_20_legal",2020,0.5,-11260.5582534535,1560883.70589932,6413182.69992353,-2.97961192896921,169.270536625582,8.3077647238976,100,16,NA,272.055106256373,54783.8961014629
"101","IUU_20_legal",2025,0.05,11808.1975560407,156676.042015031,30013706.2849743,2.91050626557077,16.0236956852604,38.9073624781054,101,-5,8,13.8347717460376,4197.78812839671
"102","IUU_20_legal",2025,0.1,23750.8351465685,234299.021808498,32088902.9090672,5.8541495582671,23.9624142691413,41.5974810026324,102,-5,8,24.3786641096307,4197.78812839671
"103","IUU_20_legal",2025,0.15,33997.7454668276,313702.281318227,33701752.509026,8.37982687254942,32.0832070236558,43.6882499137575,103,-5,8,35.3860158734689,4197.78812839671
"104","IUU_20_legal",2025,0.2,43860.9865743863,400019.067219561,35135067.2981623,10.8109366931756,40.9110653996036,45.5462842903408,104,-5,9,47.4952564273659,4197.78812839671
"105","IUU_20_legal",2025,0.25,54738.1196900373,574236.493613689,36186839.3788421,13.4919524819363,58.7287673769164,46.9097172898783,105,-5,10,74.3949521860592,4197.78812839671
"106","IUU_20_legal",2025,0.3,59329.3195235496,737240.308599578,35960137.0441186,14.6235998666033,75.3996220479822,46.6158385590087,106,-5,12,101.353946708749,4197.78812839671
"107","IUU_20_legal",2025,0.35,52057.3934709113,1215775.63568629,29885262.0823394,12.8312021498032,124.340764275384,38.7408577118269,107,-5,23,190.154177969748,4197.78812839671
"108","IUU_20_legal",2025,0.4,59826.7252732697,1016580.57123305,33448631.8262042,14.7462013512262,103.96852960725,43.3601245545051,108,-5,16,150.966664589747,4197.78812839671
"109","IUU_20_legal",2025,0.45,48287.6428657684,1253225.20166352,28997891.2649628,11.9020270827504,128.17083581055,37.5905413291599,109,-5,26,197.727552593641,4197.78812839671
"110","IUU_20_legal",2025,0.5,-10329.225061386,1816166.44506741,13705001.021588,-2.54596640316837,185.744406453346,17.766064525549,110,-5,NA,317.213363777788,4197.78812839671
"111","IUU_20_legal",2030,0.05,12997.8536172597,157231.482706397,30265995.1442877,2.99987870412248,15.2115460991629,39.2470715337782,111,-10,2,13.6408756590562,4197.78812839671
"112","IUU_20_legal",2030,0.1,26527.0273148055,236002.828597531,32204160.4269342,6.12238502360805,22.8323732941438,41.7603644597063,112,-10,4,23.8474788560623,4197.78812839671
"113","IUU_20_legal",2030,0.15,38143.4069989447,318218.206223488,33789853.7853828,8.80342229788356,30.7863974201686,43.8165935832815,113,-10,5,34.850212744289,4197.78812839671
"114","IUU_20_legal",2030,0.2,48623.7286761627,402189.548608584,35177403.649723,11.2222596488513,38.9103044374717,45.61588247244,114,-10,5,46.2822507238791,4197.78812839671
"115","IUU_20_legal",2030,0.25,65597.3738401895,653574.199847746,37107894.9986437,15.1397431163741,63.2308103891142,48.1192243154963,115,-10,7,84.331375299293,4197.78812839671
"116","IUU_20_legal",2030,0.3,67599.2021933537,660522.68847887,37332670.065756,15.6017611097135,63.9030501550473,48.4106987274859,116,-10,7,84.9482528832468,4197.78812839671
"117","IUU_20_legal",2030,0.35,70180.6211319909,918580.433824954,37146735.6821429,16.1975474547877,88.8691525030617,48.1695905128226,117,-10,9,128.712908488831,4197.78812839671
"118","IUU_20_legal",2030,0.4,62312.9777942696,1228580.88651363,34833245.3115822,14.381711056298,118.860513620229,45.1695992145605,118,-10,13,186.921063353772,4197.78812839671
"119","IUU_20_legal",2030,0.45,57471.4840629591,1339611.3519798,33679278.6528143,13.2643039544504,129.602287562563,43.6732065868492,119,-10,17,208.681341941302,4197.78812839671
"120","IUU_20_legal",2030,0.5,30727.5896665072,1603511.03846756,29669934.8477195,7.09186644071491,155.133575428488,38.4741373881692,120,-10,41,263.69047004951,4197.78812839671
"121","IUU_40",2015,0.05,1456.31634601444,100143.122309982,2869406.31034642,0.35843330522831,9.94209626784241,3.06262074132353,121,13,NA,14.7064440738858,3431.52228195855
"122","IUU_40",2015,0.1,12280.5402450046,190658.576787925,9309198.40876487,3.02252641883252,18.9283685288733,9.93604287722402,122,11,30,25.5487064019982,5769.03409898872
"123","IUU_40",2015,0.15,21762.516099444,282014.214397756,14984506.2848098,5.35626108774766,27.9980532239004,15.9935034577974,123,11,28,36.3853837078911,8370.23355152141
"124","IUU_40",2015,0.2,33168.1062143298,465622.723816762,22702275.2493705,8.16344194110143,46.2264990136004,24.2309563491423,124,11,31,60.1668277564614,14429.7083974697
"125","IUU_40",2015,0.25,36998.0399949062,656460.049742096,27189952.7535694,9.10607767236576,65.1726135552893,29.0208162428677,125,12,36,87.1112959150276,21160.4304074014
"126","IUU_40",2015,0.3,36619.7829755385,585838.24188868,25931689.9368391,9.01297982721088,58.1613601003155,27.6778270026687,126,11,34,76.8323868415443,18809.9093608891
"127","IUU_40",2015,0.35,25625.3806334882,1029989.3684325,26392007.7458175,6.30700184292486,102.256183146682,28.1691407856956,127,14,NA,146.145218247833,37211.1496517235
"128","IUU_40",2015,0.4,6125.01259556634,1297904.07944685,20077952.9982507,1.5075079773719,128.854453572392,21.4299226547452,128,16,NA,192.648420985477,51286.0389079227
"129","IUU_40",2015,0.45,2624.38197828806,1343602.10618805,18550120.9574692,0.645921409337852,133.391302141035,19.7992124689885,129,16,NA,200.817185766994,54184.2289131245
"130","IUU_40",2015,0.5,-85255.2804643731,1958154.9933893,-12009824.2178091,-20.9833063047338,194.403419851152,-12.8185181082532,130,26,NA,317.888177717141,106668.302901665
"131","IUU_40",2020,0.05,2900.63741623115,101395.873133563,1837252.80322351,0.660257908113361,9.45055203348947,1.96334031804092,131,8,42,14.4875689136379,2359.83222257451
"132","IUU_40",2020,0.1,15699.6836068277,190327.260418315,6364599.63233972,3.57364219267164,17.7393578494607,6.80139120998301,132,6,19,24.8595528669965,4074.56219731715
"133","IUU_40",2020,0.15,26744.326382714,281692.185177248,10158330.1371936,6.08768020868158,26.2549803179686,10.8554789451564,133,6,19,35.8242559400041,5981.62716182976
"134","IUU_40",2020,0.2,35461.2030384131,381427.087623624,13196070.5329557,8.07186020779783,35.5507224028847,14.101694264179,134,6,19,48.4310278930098,8208.18363034731
"135","IUU_40",2020,0.25,50091.376110295,657316.022974743,18106277.7078774,11.4020549483484,61.2648137009134,19.3488805520667,135,7,24,85.7006355621745,14720.202640232
"136","IUU_40",2020,0.3,48480.4897893838,682751.944998535,17751811.3554772,11.0353767739231,63.6355561895054,18.970087780688,136,7,25,89.9151906963326,15478.4923729915
"137","IUU_40",2020,0.35,47642.1998516211,956365.58818529,17349960.7492523,10.8445609354448,89.137580010563,18.5406588552586,137,8,35,131.337799510597,23139.076320958
"138","IUU_40",2020,0.4,33978.8929323112,1321335.50024302,11144872.8467745,7.73444920828663,123.154419532387,11.9097263921006,138,10,NA,192.693239617243,36057.3732837417
"139","IUU_40",2020,0.45,28820.3841221449,1417674.49494646,8903257.09839617,6.56024307796299,132.133647721484,9.51427239218028,139,12,NA,209.45077793877,39747.0880712116
"140","IUU_40",2020,0.5,-5519.50217748235,1760379.67885138,-2756785.12058571,-1.25637728491648,164.075314305624,-2.94597856425901,140,16,NA,272.647671415928,58870.8736602798
